High-Level Event,Net,Triggered?,Comments
Identification of a load/store instruction for storage operations,decode_op_lsu_store_o,,
Register File Address Generation,decode_rfa_adr_o,,
Branch Condition Decode,decode_op_brcond_o,,
Move High Immediate Instruction Detection,decode_op_movhi_o,,
Detection of an illegal instruction exception,decode_except_illegal_o,,
Addition with carry instruction decoding,decode_adder_do_carry_o,,
Subtraction instruction decoding,decode_adder_do_sub_o,,
Move from Special Purpose Register instruction decoding,decode_op_mfspr_o,,
Immediate instruction decoding,decode_immediate_o,,
Branch instruction decoding,decode_op_bf_o,,
Signed multiplication instruction decoding,decode_op_mul_signed_o,,
Move to Special Purpose Register instruction decoding,decode_op_mtspr_o,,
Branch if Not Equal Flag instruction decoding,decode_op_bnf_o,,
Memory Synchronization instruction decoding,decode_op_msync_o,,
Multiplication instruction decoding,decode_op_mul_o,,
Selection of immediate operand decoding mode,decode_immediate_sel_o,,
Branch operation decoding,decode_op_branch_o,,
Extension operation decoding,decode_op_ext_o,,
Shift operation decoding,decode_op_shift_o,,
Exception handling for non-syscall instructions,decode_except_syscall_o,,
Unsigned multiplication operation decoding,decode_op_mul_unsigned_o,,
Return from exception handling,decode_op_rfe_o,,
Setting flags based on instruction type,decode_op_setflag_o,,
Instruction decoding for jump targets,decode_immjbr_upper_o,,
Division operation decoding,decode_op_div_o,,
Completion of instruction decode and register file write-back,decode_rf_wb_o,,
ALU Operation Decode,decode_opc_alu_secondary_o,,
Signed Division Operation Decode,decode_op_div_signed_o,,
ALU Operation Decode,decode_opc_alu_o,,
Instruction Decode,decode_opc_insn_o,,
Instruction Fetch,decode_insn_i,,
Division Operation Detection,decode_op_div_unsigned_o,,
Load Operation Detection,decode_op_lsu_load_o,,
Jump Branch Instruction Detection,decode_op_jbr_o,,
Immediate Value High Part Selection,imm_high,,
Generation of a trap exception during instruction decoding,decode_except_trap_o,,
Register File Base Address Generation,decode_rfb_adr_o,,
Instruction Bus Alignment Exception Detection,decode_except_ibus_align,,
Register File Destination Address Generation,decode_rfd_adr_o,,
Load/Store Unit Transaction Length Determination,decode_lsu_length_o,,
Instruction Decode and Operand Identification,decode_op_ffl1_o,,
Immediate Value Zero Extension,imm_zext,,
Immediate Value Sign Extension,imm_sext,,
Floating Point Operation Decode,decode_op_fpu_o,,
Immediate Value Selection,imm_high_sel,,
Sign-Extended Immediate Selection,imm_sext_sel,,
Load/Store Unit Zero Extension,decode_lsu_zext_o,,
Jump and Link Instruction,decode_op_jal_o,,
Arithmetic Logic Unit (ALU) Operation,decode_op_alu_o,,
Jump Register Operation,decode_op_jr_o,,
Immediate Value Decoding,decode_imm16_o,,
Zero-Extended Immediate Selection,imm_zext_sel,,
ALU Operation Decoder,opc_alu,,
Addition Operation Detection,decode_op_add_o,,
Atomic Load/Store Unit Operation Detection,decode_op_lsu_atomic_o,,
Instruction Opcode Decoding,opc_insn,,
